Code;Description;Type_Code;Heures_normales;TopCode
7 11;Poste de travail;Travail;4;x
7 11:30;Poste de travail;Travail;4,5;x
7 13;Poste de travail;Travail;6;x
7 13 14 20;Poste Spécifique;Travail;12;
7 13 16 20;Poste Spécifique;Travail;10;
7 14;Poste de travail;Travail;7;x
7 15;Poste de travail;Travail;8;x
7 15:30;Poste de travail;Travail;8,5;x
7 16;Poste de travail;Travail;9;x
7 16:30;Poste de travail;Travail;9,5;x
7:15 13:15;Poste de travail;Travail;6;
7:15 15;Poste de travail;Travail;7,75;
7:15 15:30;Poste de travail;Travail;8,25;
7:15 15:45;Poste de travail;Travail;8,5;
7:30 13:15;Poste de travail;Travail;5,75;
7:30 13:30;Poste de travail;Travail;6;
7:30 15:30;Poste de travail;Travail;8;x
7:30 16;Poste de travail;Travail;8,5;x
8 11;Poste de travail;Travail;3;
8 12;Poste de travail;Travail;4;x
8 12:30;Poste de travail;Travail;4,5;
8 14;Poste de travail;Travail;6;
8 16;Poste de travail;Travail;8;x
8 16:30;Poste de travail;Travail;8,5;
8 17;Poste de travail;Travail;9;
8 18;Poste de travail;Travail;10;
8 11 13 18:30;Poste Spécifique;Travail;8,5;
8:20;Poste de travail;Travail;8;
8:30 12;Poste de travail;Travail;3,5;
8:30 12:30;Poste de travail;Travail;4;
8:30 12:45;Poste de travail;Travail;4,25;
8:30 13;Poste de travail;Travail;4,5;
8:30 14:30;Poste de travail;Travail;6;
8:30 14:43;Poste de travail;Travail;6,21;
8:30 15:45;Poste de travail;Travail;7,25;
8:30 16:30;Poste de travail;Travail;8;x
8:30 17;Poste de travail;Travail;8,5;
9 13;Poste de travail;Travail;4;
9 14one;Poste de travail;Travail;5;
9 16:30;Poste de travail;Travail;7,5;x
9 17:30;Poste de travail;Travail;8,5;
9 18;Poste de travail;Travail;9;
9:30 18;Poste de travail;Travail;8,5;x
10 13;Poste de travail;Travail;3;
10 14;Poste de travail;Travail;4;
10 16:30;Poste de travail;Travail;6,5;
10 19;Poste de travail;Travail;9;
10:30 17;Poste de travail;Travail;6,5;
11 16:30;Poste de travail;Travail;5,5;
11:30 20;Poste de travail;Travail;8,5;
12 16:30;Poste de travail;Travail;4,5;
12 16;Poste de travail;Travail;4;
12 20;Poste de travail;Travail;8;
12:30 16:30;Poste de travail;Travail;4;
13 18;Poste de travail;Travail;5;
13 19;Poste de travail;Travail;6;
13 15:30;Poste de travail;Travail;2,5;
13 16:30;Poste de travail;Travail;3,5;
13:30 17:30;Poste de travail;Travail;4;
14 18;Poste de travail;Travail;4;
14 20;Poste de travail;Travail;6;
15 19;Poste de travail;Travail;4;
15 20;Poste de travail;Travail;5;
15:30 19;Poste de travail;Travail;3,5;
16 20;Poste de travail;Travail;4;
16:30 20:15;Poste de travail;Travail;3,75;
18 21:00;Poste de travail;Travail;3;
6:45 12:15;Poste de travail;Travail;5,5;
6:45 14:45;Poste de travail;Travail;8;
6:45 15:15;Poste de travail;Travail;8,5;
6:45 20:30;Poste de travail;Travail;13,75;
